Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Expert Review of Pharmacoeconomics & Outcomes Research,"38,63 %","7,85 %","7,19","7,18","0,28","1,38"
BMC Medical Research Methodology,100 %,"2,4 %","6,29","9,17","0,03","5,22"
Advanced Genetics,100 %,"14,46 %","1,71","5,04","1,29","3,39"
Psychology and Health,"49,42 %","3,21 %","2,84","6,83","0,09","4,73"
NanoImpact,"55,92 %","3,02 %","1,71","12,64","0,64","1,14"
Oncoscience,"99,15 %",10 %,3,"9,88","1,99","1,19"
British Journal of Hospital Medicine,"9,56 %","3,09 %","6,19","9,18","0,34","1,58"
Discover Oncology,100 %,"15,72 %","19,83","7,68","0,01","1,93"
International Journal of Clinical Practice,"95,3 %","3,79 %","12,17","6,78","0,1","3,01"
Journal of Drugs in Dermatology,"17,03 %","3,6 %","8,5","5,22","1,56","0,32"
AIDS Research and Human Retroviruses,"44,18 %","2,64 %","3,31","5,48","0,1","2,71"
CNS Spectrums,"81,98 %","1,81 %","3,62","4,36","0,74","1,38"
The Journal of Pathology Clinical Research,100 %,"26,63 %","9,67","11,07","0,11","2,3"
Journal of Nephrology,"40,53 %","6,87 %","14,78","12,84","0,06","4,34"
Journal of Environmental Management,"21,43 %","1,39 %","27,74","31,16","0,18","0,67"
Journal of Immunotherapy and Precision Oncology,100 %,"19,27 %","5,29","4,04","0,08","12,15"
Nuclear Medicine and Molecular Imaging,"79,95 %","16,23 %","8,32","4,68","1,03","0,56"
Statistics in Medicine,"59,64 %","3,04 %","9,86","5,74","0,07","3,19"
Infezioni in Medicina,"46,66 %","23,51 %","17,43","8,07","0,27","1,65"
Journal of Biomedical Informatics,77 %,"2,8 %","5,56","14,57","0,05","2,93"
AJOG Global Reports,100 %,"3,13 %","1,71","1,15","0,38","4,62"
Fluids and Barriers of the CNS,100 %,"22,8 %","15,57","15,43","0,13","3,48"
Thoracic Cancer,100 %,"27,96 %","101,33","10,54","0,08","1,35"
Operative Neurosurgery,"22,46 %","7,28 %","31,64","4,93","0,23","4,2"
Clinical Interventions in Aging,100 %,"2,74 %","4,93","10,49","0,09","1,69"
The Journal of General Physiology,"95,41 %","7,41 %","8,57","13,42","0,03","20,44"
RSC Medicinal Chemistry,"84,76 %","8,2 %","14,86","11,94","0,11","3,1"
Journal of Pharmacy Practice,"14,66 %","3,96 %","5,45","5,65","0,14","3,52"
Bioscience Reports,100 %,"11,24 %","53,01","13,66","0,1","1,42"
Annals of Hematology,"28,39 %","22,76 %","87,26","6,8","0,19","1,6"
The Journal of Comparative Neurology,"63,23 %","2,79 %",5,"9,2","0,09","3,68"
Nursing Clinics of North America,"4,12 %","6,5 %","2,29","12,82","0,28","1,28"
International Journal of Applied Earth Observation and Geoinformation,"85,43 %","3,55 %","12,43","23,45","0,1","1,68"
Journal of Public Health Policy,"50,69 %","6,41 %","2,57","4,29","0,17","4,32"
Microbial Pathogenesis,"13,16 %","5,62 %","28,81","11,25","0,09","1,33"
Journal of Oncology Pharmacy Practice,"14,11 %","8,66 %","21,91","5,37","0,04","1,87"
International Journal of Eating Disorders,"53,32 %","1,24 %","2,43","11,81","0,04","3,85"
Molecular Case Studies,"95,36 %","37,97 %","20,29","8,15","0,08","5,23"
Journal of Community Health,"50,64 %","5,1 %","6,14","7,43","0,08","3,32"
Liver Transplantation,"40,15 %","11,62 %","29,43","13,69","0,02","12,65"
BMC Gastroenterology,100 %,"12,62 %","46,83","9,16","0,1","4,48"
Neuroendocrinology,"54,03 %","44,74 %","38,39","14,03","0,05","2,03"
Expert Review of Cardiovascular Therapy,"20,04 %","9,95 %","8,43","9,09","0,14","3,77"
Physiologia Plantarum,"33,01 %","12,14 %","30,14","18,7","0,03","6,41"
International Urology and Nephrology,"21,67 %","5,5 %","18,71","6,86","0,08","2,49"
Ophthalmology and Therapy,100 %,"5,34 %","6,79","11,34","0,13","3,25"
Seminars in Neurology,"11,21 %","19,85 %","15,43","8,23","0,06","2,59"
Natural Products and Bioprospecting,100 %,"6,6 %",3,"14,87","1,15","1,44"
Seminars in Diagnostic Pathology,"6,97 %","33,91 %","15,61","11,17","0,06","4,39"
Protein Science,"86,25 %","3,06 %","6,93","8,58","0,19","4,69"
OMICS A Journal of Integrative Biology,"18,03 %","15,99 %","11,29","9,72","0,16","3,28"
Blood Purification,"47,29 %","3,81 %","4,29","8,1","0,07","1,77"
Mediterranean Journal of Hematology and Infectious Diseases,100 %,"32,16 %","22,93","7,71","0,13","2,08"
Hepatoma Research,"96,77 %","78,82 %","45,71","3,95","0,06","11,18"
Atención Primaria,100 %,"1,48 %","1,86","3,87","0,15","10,59"
JTCVS Open,100 %,"7,51 %","12,5","2,66","0,33","1,91"
Clinical and Molecular Hepatology,100 %,"24,39 %","21,43","25,92","0,26","0,4"
Cell Stress and Chaperones,"98,2 %","4,98 %","4,02","9,9","0,03","2,85"
Database,100 %,"4,54 %","4,71","6,52","0,56","4,07"
Epigenetics & Chromatin,100 %,"8,5 %","4,29","18,3","0,12","6,76"
Urologic Clinics of North America,"9,02 %","9,11 %","5,03","11,34","0,34","2,79"
Tropical Medicine and Health,100 %,"32,15 %","24,57","8,66","0,18","2,61"
Frontiers in Chemistry,100 %,"1,33 %","13,48","22,36","0,02","2,99"
Evidence-based Complementary and Alternative Medicine,"99,3 %","5,53 %","59,26","8,78","0,13","1,54"
BioMetals,"30,5 %","9,86 %","6,86","9,36","0,31","1,43"
BMC Geriatrics,100 %,"0,6 %","3,83","10,76","0,29","2,1"
Plastic & Reconstructive Surgery Global Open,100 %,"2,29 %","29,14","4,48","0,12","6,74"
Journal of Clinical and Experimental Neuropsychology,"36,02 %","3,74 %",2,"4,25","0,46","1,82"
Reproductive Sciences,"31,12 %","10,51 %","30,36","11,5","0,09","2,11"
International Journal of Molecular Medicine,"98,28 %","8,76 %","25,66","14,34","0,06","0,96"
Microbial Cell,100 %,"6,99 %","2,29","26,73","0,14","3,05"
Cancer Research,"6,3 %","7,28 %","585,27","3,31","0,27","0,5"
Journal of Infection and Chemotherapy,"29,82 %","11,76 %","29,57","5,81","0,06","5,07"
Current Opinion in Nephrology & Hypertension,"38,64 %","5,53 %","4,58","11,52","0,02","5,36"
Tobacco Induced Diseases,100 %,"41,67 %","135,86","5,48","1,36","1,88"
Expert Opinion on Drug Delivery,"30,35 %","9,03 %","9,36","20,74","0,06","1,78"
Relevé des maladies transmissibles au Canada,100 %,"7,94 %","8,71","10,2","0,33","1,72"
Journal of Genetic Counseling,"42,64 %","17,01 %","23,43","6,26","0,12","4,86"
Journal of Dual Diagnosis,"37,99 %","10,99 %",3,"7,19","0,27","2,77"
Neuropsychological Rehabilitation,"43,35 %","3,37 %","2,43","10,24","0,14","2,35"
The Journal of Physiological Sciences,100 %,"4,67 %",2,"8,29","0,12","1,87"
Nursing,"22,62 %","3,34 %","7,43","2,3","0,52","3,32"
Case Reports in Pulmonology,100 %,"34,62 %","7,07","3,64","0,24","1,19"
Methods,"45,16 %","2,89 %","4,86","12,91","0,23","1,59"
Journal of Studies on Alcohol and Drugs,"43,3 %","3,72 %","4,29","5,93","0,34","1,1"
Current Drug Metabolism,"5,12 %","6,31 %","6,1","8,79","0,08","2,5"
Clinical and Experimental Vaccine Research,100 %,"16,75 %",5,"3,65","0,97","0,62"
Molecular Phylogenetics and Evolution,"40,12 %","0,98 %","2,29","7,31","0,07","2,86"
Pulmonary Medicine,100 %,"24,66 %","2,57","17,55","0,04","4,9"
American Journal of Ophthalmology Case Reports,100 %,"9,96 %","27,12","7,07","0,04","2,87"
Journal of Food Biochemistry,"91,41 %","2,4 %","7,35","12,52","0,03","2,4"
Asian Journal of Pharmaceutical Sciences,100 %,"9,38 %","5,14","42,08","0,22","1,25"
Current Opinion in Allergy and Clinical Immunology,"22,73 %","9,93 %","8,14","11,62","0,17","2,13"
Journal of Hydrology Regional Studies,100 %,"45,1 %","91,43","18,87","0,18","1,75"
Wiener klinische Wochenschrift,"61,33 %","5,18 %","7,61","6,51","0,05","3,84"
American Journal of Hospice and Palliative Medicine®,"26,8 %","2,8 %","4,93","4,82","0,25","2,49"
Journal of Genetics and Genomics,"30,92 %","5,34 %","5,82","13,95","0,03","4,73"
Quaternary Science Reviews,"50,32 %","0,87 %","3,43","10,45","0,18","1,67"
Pharmacy,100 %,"1,62 %","2,86","5,69","0,16","2,25"
Journal of Medicine and Life,"92,16 %","7,25 %","9,71","8,4","0,51","1,58"
Journal of Chromatography B,"21,5 %","2,42 %","8,23","9,5","0,07","2,65"
Virchows Archiv,"44,04 %","16,37 %","35,71","10,85","0,05","3,05"
The Nurse Practitioner,"33,98 %","2,89 %","3,14","3,07","0,34","4,2"
Pharmacoepidemiology and Drug Safety,"51,43 %","3,09 %","5,12","8,62","0,05","7,54"
Molecular Horticulture,100 %,"18,06 %","1,86","24,07","0,13","5,13"
Traffic,"88,74 %","9,38 %","4,29","16,58","0,18","6,81"
Agricultural and Forest Meteorology,"35,6 %","15,15 %",57,"19,43","0,11","1,94"
International Journal of Oral Science,100 %,"17,09 %","7,71","29,27","0,1","5,08"
Parasite,100 %,"13,46 %","9,29","11,91","0,01","27,69"
Spatial and Spatio-temporal Epidemiology,"57,14 %","13,03 %","4,86","9,77","0,15","3,37"
Pancreatology,"11,45 %","22,04 %","116,09","6,65","0,15","2,99"
Aquatic Toxicology,"25,37 %","7,02 %","17,29","17,27","0,25","2,17"
Nutrition & Diabetes,100 %,"5,73 %","2,57","11,8","0,08","4,71"
Hydrological Processes,"37,21 %","32,8 %","99,57","12,21","0,13","3,18"
Medicine,100 %,"3,34 %","138,22","7,19","0,08","1,05"
Geomorphology,"36,27 %","2,04 %","6,71","19,54","0,13","1,71"
Journal of Inflammation Research,100 %,"6,58 %","19,21","11,45","0,09","2,45"
Journal of Biomedical Materials Research Part A,"33,29 %","3,09 %",6,"15,28","0,43","0,99"
Current Opinion in Biotechnology,"54,53 %","2,17 %","3,43","31,57","0,06","4,11"
Inflammation Research,"32,18 %","7,29 %","8,21","21,37","0,05","1,51"
Journal of Molecular Endocrinology,"93,6 %","53,7 %","29,07","18,82","0,03","3,62"
Food Research International,"23,99 %","0,43 %","4,05","17,44","0,06",2
Microbiological Research,"58,58 %","4,02 %","7,36","47,38","0,02","2,14"
International Journal of Gynecological Cancer,"48,67 %","15,35 %","114,79","6,01","0,07","5,94"
Proteomics,"56,07 %","2,95 %","6,13","10,29","0,04","3,59"
Environmental Science Nano,"19,95 %","0,96 %","2,71","27,68","0,09","0,87"
Drug and Alcohol Dependence Reports,100 %,"10,19 %",3,"2,47","0,36","8,93"
Revista do Instituto de Medicina Tropical de São Paulo,"98,6 %","38,88 %","29,71","5,27","0,4","5,46"
Current Opinion in Obstetrics & Gynecology,"14,19 %","11,97 %","8,93",8,"0,16","1,4"
Current Research in Microbial Sciences,100 %,"8,7 %","3,14","4,78","0,2","26,2"
Reproductive Medicine and Biology,100 %,"11,16 %","5,64","11,68","0,37","0,97"
Current Opinion in Psychiatry,"31,69 %","3,59 %","2,14","13,87","0,16","3,45"
International Journal of Medicinal Mushrooms,"5,27 %","2,79 %","2,64","4,44","2,78","0,68"
Thyroid Research,100 %,"37,64 %","8,04","8,23","0,12","7,46"
Nonlinear Processes in Geophysics,100 %,"39,82 %","12,86","7,93","0,51","2,6"
Journal of Medical Case Reports,100 %,"17,59 %","77,76","4,41","0,1","3,05"
Brain Hemorrhages,100 %,"10,14 %",3,"1,32","0,05","71,74"
Minerva Anestesiologica,"6,76 %","2,91 %","5,9","7,81","0,34","1,53"
Journal of Clinical Monitoring and Computing,"46,33 %","3,28 %","5,14","7,03","0,11","3,95"
Journal of Viral Hepatitis,"42,96 %","12,71 %","25,86","9,81","0,14","1,99"
Journal of Occupational Medicine and Toxicology,100 %,"7,21 %","2,21","12,56","0,11","2,53"
Research in Developmental Disabilities,"39,96 %","5,16 %","8,29","7,34","0,24","3,65"
Journal of Small Animal Practice,"39,99 %","10,06 %","12,57","5,24","0,16","3,7"
Seminars in Hematology,"41,61 %","36,99 %","13,01","10,43","0,05","3,23"
Seminars in Radiation Oncology,"28,58 %","17,23 %","7,18","14,43","0,03","6,05"
Journal of Human Reproductive Sciences,100 %,"17,31 %","9,64","6,82","1,01","2,21"
Journal of Glaciology,100 %,"6,49 %","6,86","8,95","0,22","3,19"
Hawai‘i Journal of Medicine & Public Health,"2,86 %","5,67 %","4,24","3,67","0,79","0,62"
Biomarkers in Medicine,"23,47 %","10,86 %","13,38","6,97","0,55","0,53"
Experimental Neurobiology,100 %,"8,17 %",3,"15,55","0,2","2,18"
Brain Stimulation,"77,33 %","1,21 %","6,79","7,47","0,14","2,34"
BJS Open,100 %,"15,09 %","23,86","11,49","0,02","17,03"
Mayo Clinic Proceedings Innovations Quality & Outcomes,100 %,"7,37 %","5,39","8,42","0,07","3,9"
FEMS Microbiology Ecology,"66,6 %","1,15 %","1,78","14,99","0,04","7,32"
Clinical Neurophysiology Practice,100 %,"11,07 %","4,14","11,25","0,1","6,74"
Jornal Brasileiro de Pneumologia,100 %,"14,09 %","17,29","7,67","0,05","3,35"
Critical Care Nursing Quarterly,"5,87 %","8,06 %","3,57","6,75","8,62","0,52"
Human Genomics,100 %,"20,54 %","15,14","7,65","0,12","3,95"
World Journal of Surgical Oncology,100 %,"17,97 %","55,67","10,85","0,11","0,85"
Journal of Surgical Research,"22,95 %","4,96 %","32,38","6,4","0,09","1,87"
Bioengineering,100 %,"2,42 %","12,52","10,28","0,54","2,06"
BMC Pharmacology and Toxicology,100 %,"5,95 %","4,59","8,39","0,23","3,06"
International Journal of Oncology,"96,07 %","19,8 %","40,95","17,13","0,08","0,76"
International Journal of Medical Sciences,100 %,"9,24 %","22,9","13,73","0,14","0,7"
Frontiers in Synaptic Neuroscience,100 %,"4,17 %",2,"21,12","0,07","6,2"
European Journal of Cardio-Thoracic Surgery,"79,27 %","10,73 %","50,79","10,15","0,1","2,4"
Journal of Global Oncology,100 %,"12,1 %","24,19","7,99","0,45","2,47"
Journal of Thyroid Research,100 %,"28,07 %","2,29","12,03","0,1","3,19"
Journal of Applied Microbiology,"33,51 %","2,74 %","10,01","22,94","0,15","2,69"
Pediatric Radiology,"32,3 %","9,58 %","26,81","9,86","0,02","3,58"
Journal of Pharmaceutical Sciences,40 %,"1,94 %","6,38","11,26","0,09","0,71"
Journal of Public Health Research,100 %,"3,82 %","3,31","13,18","0,37","0,96"
Surgical Endoscopy,"25,63 %","6,08 %","44,33","11,58","0,04","1,98"
Canadian Journal of Microbiology,"28,92 %","3,91 %","2,43","18,71","0,04","3,74"
Photochemistry and Photobiology,"38,5 %","5,56 %",8,"11,04","0,39","0,89"
Veterinary Pathology,"48,55 %","26,94 %","31,29","7,31","0,08","8,97"
Cold Spring Harbor Perspectives in Biology,"90,97 %","6,41 %",3,"54,64","0,01","4,87"
Australasian Journal of Water Resources,"31,01 %","11,01 %","1,71","4,61","1,04","1,99"
Journal of Hypertension,"62,87 %","1,17 %","17,69","5,58","0,16","1,4"
Global Spine Journal,100 %,"3,25 %","7,86","12,86","0,13","5,62"
Tomography,100 %,"12,39 %","12,64","10,04","0,08","7,42"
International Journal of Surgical Oncology,100 %,50 %,"3,14","7,2","2,37","0,3"
Vascular Medicine,"60,84 %","6,28 %","6,14","6,08","0,04","13,23"
Surgical Neurology International,"96,89 %","12,13 %","52,95","3,72","0,19","0,81"
Molecular Biomedicine,100 %,"15,71 %","4,29","8,12","0,24","3,1"
Acta Anaesthesiologica Scandinavica,"49,69 %","2,76 %","5,07","9,01","0,12","1,7"
Clinical Practice in Pediatric Psychology,"16,09 %","9,46 %","5,23","3,71","0,2","8,27"
Transactions of the Royal Society of Tropical Medicine and Hygiene,"39,84 %","41,09 %",56,"6,11","0,12","4,13"
IEEE Transactions on Biomedical Engineering,"53,44 %","1,6 %","5,57","14,15","0,2","0,77"
Annals of Allergy Asthma & Immunology,"27,63 %","4,14 %","29,91","5,52","0,45","1,76"
The Journal of Physical Chemistry B,"34,24 %","0,69 %","7,43","8,77","0,06","4,41"
Journal of Autism and Developmental Disorders,"47,9 %","3,2 %","13,86","9,35","0,07","3,28"
European Journal of Radiology,"27,59 %","8,76 %","37,95","11,14","0,04","1,28"
Journal of Neural Engineering,"58,69 %","0,94 %","2,43","12,67","0,25","2,38"
Clinical Colorectal Cancer,"30,37 %","26,77 %","18,86","8,88","0,08","2,73"
Clinics in Perinatology,"10,46 %","21,64 %","14,71","10,14","0,13","3,84"
Glycobiology,"64,51 %","9,4 %","9,86","18,06","0,11","2,98"
Heart Failure Clinics,"25,53 %","9,6 %","5,3","11,19","0,02","10,56"
Pediatric Critical Care Medicine,"40,88 %","6,62 %","39,12","7,49","0,02","20,71"
Tzu Chi Medical Journal,100 %,"10,61 %","6,3","7,35","0,22","1,71"
PharmacoEconomics,"74,75 %","6,94 %","7,86","9,22","0,05","3,1"
International Journal of Clinical Oncology,"30,81 %","13,91 %","27,08","10,52","0,08","1,1"
International Journal of Rheumatic Diseases,"26,12 %","7,41 %","20,35","6,89","0,21","1,28"
American Journal of Geriatric Psychiatry,"21,14 %","0,75 %","2,79","5,09","0,74","1,19"
Annals of the Rheumatic Diseases,"85,59 %","6,43 %","158,33","8,74","1,35","10,15"
La Medicina del Lavoro,0 %,"7,69 %","3,29","5,57","0,3","1,32"
Current Issues in Molecular Biology,100 %,"6,57 %","17,73","5,27","0,14","2,47"
American Journal of Obstetrics & Gynecology MFM,"40,02 %","4,06 %",8,"13,78","0,1","3,34"
Journal of Patient-Reported Outcomes,100 %,"12,23 %",13,"6,47","0,15","3,27"
African Journal of Emergency Medicine,100 %,"4,05 %","2,43","3,58","0,07","9,27"
IDCases,100 %,"20,85 %","50,44","4,49","0,08","2,5"
Biosensors,100 %,"1,66 %","8,5","15,5","0,11","2,08"
Obesity Surgery,"29,34 %","2,79 %","16,17","7,94","0,1","2,09"
Analytica Chimica Acta,"16,23 %","1,27 %","11,1","17,49","0,03","1,98"
Early Human Development,"30,87 %","6,48 %","9,86","6,92","0,07","2,25"
Indian Journal of Tuberculosis,"10,46 %","44,12 %","52,48","4,66","0,08","3,23"
JACC Case Reports,100 %,"10,29 %","35,21","1,65","0,07","15,86"
Homeopathy,"22,5 %","3,22 %","1,99","3,28","0,05","9,44"
Cancer Biology & Therapy,100 %,"23,54 %","24,3","12,35","0,05","1,31"
Surgical Clinics of North America,"6,85 %","17,46 %","16,29","15,59","0,1","2,95"
Therapeutic Advances in Ophthalmology,100 %,"14,34 %","5,57","9,49","0,06","5,28"
World Journal of Clinical Pediatrics,"91,64 %","21,79 %","4,86","10,38","0,24","1,88"
Expert Review of Hematology,"23,72 %","27,91 %","27,92","10,32","0,09","1,57"
International Archives of Allergy and Immunology,"32,76 %","8,37 %","10,71","8,98","0,38","1,49"
Drug Delivery and Translational Research,"41,96 %","7,2 %","12,5","15,38","0,07","1,81"
VirusDisease,"80,77 %","12,72 %","8,43","6,61","0,07","5,42"
The Obstetrician & Gynaecologist,"27,48 %","4,58 %","2,79","5,92","0,07","4,13"
Endocrine Pathology,"35,05 %","35,79 %","15,82","32,01","0,02","9,94"
Cell Biochemistry and Function,"15,77 %","7,81 %","7,65","14,14","0,07","0,97"
Journal of Racial and Ethnic Health Disparities,"49,21 %","1,88 %","4,43","7,04","0,38","1,75"
Journal of Imaging,100 %,"2,6 %","4,64","17,19","0,14","2,03"
Current Alzheimer Research,"13,92 %","2,28 %","1,86","9,42","0,76","0,94"
Future Microbiology,"25,21 %","14,85 %","20,57","8,03","0,16","1,91"
Seminars in Nuclear Medicine,"26,38 %","10,4 %","6,29","18,37","0,03","1,52"
European Journal of Medicinal Chemistry,"20,98 %","8,98 %","74,48","18,9","0,03","1,32"
Aphasiology,"42,01 %","6,51 %","6,14","8,6","0,1","2,67"
TrAC Trends in Analytical Chemistry,"24,64 %","0,94 %","2,99","23,37","0,06","1,73"
Blood Research,"99,37 %","30,02 %","19,27","3,98","0,85","1,7"
American Journal of Medical Genetics Part C Seminars in Medical Genetics,"47,39 %","27,97 %","18,86","12,14","0,05","3,27"
Clinical & Experimental Metastasis,"44,81 %","18,68 %","11,29","11,2","0,05","1,6"
Journal of Clinical Biochemistry and Nutrition,"98,68 %","6,03 %","4,38","7,22","0,28","0,41"
Clinical Pharmacology in Drug Development,"52,66 %","3,05 %","3,57","10,1","0,39","0,61"
Briefings in Functional Genomics,"45,35 %","10,33 %",4,"14,66","0,1","5,76"
International Journal of General Medicine,100 %,"9,56 %","39,36","8,56","0,29","1,09"
Research in Social and Administrative Pharmacy,"34,95 %","0,82 %","1,79","6,03","0,11","6,9"
BMC Nutrition,100 %,"2,44 %","2,2","5,1","0,28","3,3"
Stroke and Vascular Neurology,100 %,"4,21 %","1,71","5,65","0,28","2,3"
Blood and Lymphatic Cancer Targets and Therapy,100 %,100 %,"5,71","11,02","0,13","3,33"
Oncology Reviews,100 %,"36,36 %","6,29","13,21","0,06","1,48"
Food Science and Human Wellness,100 %,"1,13 %","1,71","21,32","0,19","2,89"
Neuroscience Research,"42,66 %","5,04 %","5,57","9,84","0,34","1,5"
The European Journal of Health Economics,"70,82 %","4,17 %","4,33","7,44","0,08","7,79"
Carbon Balance and Management,100 %,"9,23 %","1,71","13,35","0,15","1,25"
Virus Research,"55,23 %","12,61 %",29,"10,14","0,05","5,12"
Journal of UOEH,100 %,"12,85 %","4,57","5,92","0,01","2,39"
Expert Opinion on Drug Safety,"25,85 %","6,23 %","8,73","8,67","0,02","2,78"
Colorectal Disease,"28,2 %","12,76 %","54,29","7,33","0,02","17,07"
Current Opinion in Urology,"13,04 %","7,6 %","7,54","6,55","0,07","2,7"
Global Health Science and Practice,100 %,"6,55 %","6,57","7,18","0,07","5,63"
European Heart Journal - Case Reports,100 %,"7,54 %","33,12","2,36","0,07","13,67"
The Bone & Joint Journal,"20,74 %","3,83 %","9,57","12,77","0,03","7,49"
The Journal of Dermatology,"16,42 %","7,14 %","30,05","5,82","0,45","1,9"
American Journal on Intellectual and Developmental Disabilities,"25,67 %","13,04 %",6,"5,46",2,"1,05"
Hepatology International,"44,03 %","33,22 %","41,29","19,12","0,07","2,02"
FEBS Open Bio,100 %,"9,81 %","19,71","9,12","0,04","2,12"
The American Journal of Gastroenterology,"67,55 %","3,61 %","133,49","2,63","0,12","3,09"
Qualitative Health Research,"50,21 %","3,11 %","4,86","6,27","0,09","4,93"
Medical Mycology Case Reports,100 %,"30,67 %","17,57","6,9","0,22","2,74"
Journal of the International Neuropsychological Society,"74,06 %","6,54 %","17,29","7,21","0,45","6,46"
Pharmaceutical Nanotechnology,"9,15 %","6,15 %","2,86","16,39","0,08","0,98"
International Journal of Pharmaceutics,"25,78 %","3,22 %","30,24","17,13","0,08","1,1"
JAAPA,"33,83 %","7,62 %","15,29","5,24","0,29","2,39"
Nanomaterials,100 %,"0,59 %","14,96","17,43","0,03","1,91"
Drugs - Real World Outcomes,100 %,"8,6 %","3,86","8,4","0,29","0,8"
Experimental and Therapeutic Medicine,"98,51 %","8,4 %","83,81","8,43","0,15","0,79"
Immunotherapy,"29,16 %","15,74 %","20,54","9,14","0,06","1,1"
Current Problems in Cancer,"15,8 %","21,72 %","13,73","8,22","0,09","2,28"
Geoscience Letters,100 %,"22,71 %","8,14","14,2","0,15","2,31"
The Journal of Pediatric Pharmacology and Therapeutics,"96,74 %","18,66 %","17,57","7,33","0,13","3,8"
Ultrasound in Medicine & Biology,"40,6 %","5,92 %","20,87","9,24","0,03","1,66"
Experimental Eye Research,"39,85 %","5,66 %","17,71","12,56","0,08","1,28"
Advances in Skin & Wound Care,"47,78 %","2,33 %","3,43","4,51","0,23","3,3"
World Journal of Critical Care Medicine,"98,92 %","17,65 %","3,86","5,55","0,12","8,5"
COPD Journal of Chronic Obstructive Pulmonary Disease,"71,87 %","6,48 %",4,"7,83","0,22","2,2"
Tuberculosis and Respiratory Diseases,100 %,"23,99 %","11,07","7,31","0,13","2,73"
Genes & Diseases,100 %,"14,03 %","24,21","22,26","0,18","0,87"
Transfusion Medicine,"29,79 %","9,03 %",6,"5,75","0,16","2,27"
Expert Review of Gastroenterology & Hepatology,"20,03 %","27,04 %","28,43","14,85","0,11","1,71"
Epidemiology and Health,100 %,"8,36 %","6,47","8,86","0,16","1,36"
Health Science Reports,100 %,"3,32 %","10,14","4,16","0,1","1,73"
Journal of Applied Clinical Medical Physics,100 %,"9,2 %","27,93","7,3","0,11","1,81"
Journal of Adolescent and Young Adult Oncology,"31,86 %","34,03 %","32,37","6,37","0,08","2,06"
SN Computer Science,"35,19 %","0,86 %","3,52","13,44","0,94","0,24"
Developmental Biology,"79,39 %","4,47 %","7,79","10,39","0,02","8,08"
Cardiology Clinics,"14,79 %","16,09 %",8,"11,44","0,09","3,56"
Pattern Recognition,"32,48 %","0,48 %","2,29","83,6","0,04","0,63"
Research in Veterinary Science,"24,29 %","5,44 %","13,64","6,98","0,08","1,98"
Hormones,"31,01 %",56 %,"46,64","7,6","0,07","1,54"
Current Reviews in Clinical and Experimental Pharmacology,"13,87 %","10,67 %","2,29","18,2","0,04","2,32"
Clinical EEG and Neuroscience,"20,84 %","6,07 %",3,"4,1","0,23","2,63"
"Air Quality, Atmosphere & Health","31,62 %","42,26 %","65,14","10,66","0,12","2,34"
Cancer Research and Treatment,"97,96 %","20,45 %","24,14","13,05","0,07","0,6"
Physical Chemistry Chemical Physics,"30,97 %","0,25 %","6,86","8,74","0,21","1,89"
Molecular Human Reproduction,"65,96 %","9,19 %","4,93","11,85","0,02","3,22"
Annals of Thoracic Medicine,100 %,"17,47 %","6,71","6,31","0,07","1,15"
Current Drug Targets,"5,68 %","7,11 %","9,23","10,88","0,11","0,93"
International Journal for Vitamin and Nutrition Research,"7,51 %","5,66 %","2,14","7,3","0,33","1,73"
NeuroMolecular Medicine,"31,34 %","17,06 %","7,14","12,14","0,28","1,92"
Journal of Oral Implantology,"12,03 %","2,84 %","1,71","5,27",2,"0,79"
Peptides,"31,21 %","9,96 %","12,43","13,69","0,04","1,22"
Neurodegenerative Diseases,"36,55 %","33,59 %","6,29","8,43","0,34","1,36"
Metallomics,"54,81 %","5,71 %","6,31","11,67","0,06","1,75"
Cancer Nursing,"31,26 %","11,29 %","14,49","8,3","0,07","2,46"
Nanomedicine,"23,26 %","8,4 %","14,29","16,77","0,06","1,33"
BULL PAN AM HEALTH ORGAN,100 %,"6,8 %","10,55","5,03","0,15","3,46"
Neurologia Medico-Chirurgica,100 %,"17,12 %","11,57","12,09","0,1","1,92"
Remote Sensing,100 %,"15,71 %","666,1","15,47","0,05","3,45"
Wiley Interdisciplinary Reviews Nanomedicine and Nanobiotechnology,"47,26 %","15,16 %","9,57","26,13","0,08","2,13"
Annals of Hepatology,"96,68 %","15,32 %","34,33","11,34","0,09","1,97"
Current Medicinal Chemistry,"7,71 %","6,39 %","27,19","13,91","0,08","0,85"
The Journal of Immunology,"40,18 %","6,06 %","121,8","3,72","0,09","3,05"
Journal of Functional Foods,"74,98 %","1,97 %","10,38","11,94","0,19","0,9"
Acta Physiologica,"69,57 %","4,28 %","6,3","13,6","0,08","4,7"
Anticancer Research,"68,9 %","11,65 %","84,51","9,04","0,03","0,88"
Journal of Microbiology and Biotechnology,"87,8 %","3,39 %","6,79","7,6","0,39","0,77"
Immunology and Allergy Clinics of North America,"16,58 %","12,41 %","5,74","12,32","0,02","4,83"
Journal of Substance Use and Addiction Treatment,"57,01 %","4,46 %","8,43","6,5","0,04","2,45"
BMC Ophthalmology,100 %,"5,64 %","23,44","8,18","0,05","2,23"
Therapeutic Innovation & Regulatory Science,"46,25 %","6,69 %","8,57","11,3","0,09","3,13"
Metabolic Brain Disease,"19,66 %","8,71 %","15,06","11,55","0,23","0,96"
